# Как напечатано в чеке; ключ сопоставления; читаемое название; количество; жирность
raw;canonical;title;qty;fat
МОЛОКО ПРОСТОКВ.3,2% 930МЛ;молок простоквашин;молоко простоквашино;930мл;320
Молоко Простоквашино 3.2 930г;молок простоквашин;молоко простоквашино;930г;320
МОЛ.ПРОСТОКВАШИНО 930;молок простоквашин;молоко простоквашино;;0
КЕФИР 1% 900МЛ;кефир;кефир;900мл;100
СМЕТАНА 20% 300Г;смет;сметана;300г;2000
Творог 5% 200 г;творог;творог;200г;500
Масло слив. Традиционное 82,5% 180г;масл сливочн традицион;масло сливочное традиционное;180г;8250
ХЛЕБ БОРОДИНСКИЙ 400Г;хлеб бородинск;хлеб бородинский;400г;0
КАРТОФЕЛЬ МЫТЫЙ 1КГ;картофел мыт;картофель мытый;1кг;0
Бананы вес;бан;бананы;;0
Вода питьевая 1,5л;вод пит;вода питьевая;1,5л;0
ГОВ.ВЫРЕЗКА ОХЛ. 1КГ;говядин вырезк охлажд;говядина вырезка охлажденный;1кг;0
Шок.Аленка 90г;шоколад аленк;шоколад аленка;90г;0
