# строка чека;ожидаемая категория
МОЛОКО ПРОСТОКВАШИНО 3,2% 930МЛ;dairy
Кефир Домик в деревне 1% 900г;dairy
СМЕТАНА ПРОСТОКВАШИНО 15% 300Г;dairy
Творог Савушкин 5% 200г;dairy
Сыр Ламбер 50% 230г;dairy
Йогурт Активиа персик 260г;dairy
МАСЛО СЛИВОЧНОЕ БРЕСТ-ЛИТОВСК 82,5% 180Г;dairy
Яйцо куриное С1 10шт;dairy
Сливки Петмол 10% 500мл;dairy
Ряженка Простоквашино 4% 450г;dairy
ГОВЯДИНА ЛОПАТКА ОХЛ ВЕС;meat
Фарш домашний охл 400г;meat
КУРИЦА ТУШКА ОХЛ 1КГ;meat
Грудка куриная филе охл вес;meat
Колбаса Докторская Останкино 400г;meat
СОСИСКИ МОЛОЧНЫЕ ВЯЗАНКА 400Г;meat
Ветчина Черкизово 400г;meat
Бекон Мираторг нарезка 150г;meat
Тушенка говяжья 338г;meat
Пельмени Сибирская коллекция 800г;frozen
СЕЛЬДЬ СЛАБОСОЛЕНАЯ ФИЛЕ 250Г;fish
Лосось слабосоленый Меридиан 120г;fish
Креветки варено-мороженые 500г;fish
КАРТОФЕЛЬ МЫТЫЙ ВЕС;vegetables
Морковь мытая 1кг;vegetables
ЛУК РЕПЧАТЫЙ ВЕС;vegetables
Помидоры розовые вес;vegetables
Огурцы гладкие 1кг;vegetables
Яблоки Голден вес;vegetables
БАНАНЫ ВЕС;vegetables
Апельсины вес;vegetables
Капуста белокочанная вес;vegetables
Перец болгарский красный вес;vegetables
Виноград кишмиш 500г;vegetables
Лимон вес;vegetables
Зелень укроп 50г;vegetables
ХЛЕБ БОРОДИНСКИЙ 400Г;bakery
Батон нарезной 400г;bakery
Лаваш тонкий 200г;bakery
Булочки для бургеров 4шт;bakery
РИС КРАСНОДАРСКИЙ МИСТРАЛЬ 900Г;grocery
Гречка ядрица Увелка 800г;grocery
Макароны Барилла спагетти 450г;grocery
МУКА ПШЕНИЧНАЯ МАКФА 2КГ;grocery
Сахар песок 1кг;grocery
Соль поваренная 1кг;grocery
Масло подсолнечное Олейна 1л;grocery
Майонез Провансаль 400мл;grocery
Кетчуп Хайнц 350г;grocery
Овсянка Геркулес 500г;grocery
ШОКОЛАД АЛЕНКА 90Г;sweets
Конфеты Рафаэлло 150г;sweets
Печенье Юбилейное 313г;sweets
Вафли Яшкино 300г;sweets
Чипсы Лейс краб 81г;sweets
Мороженое пломбир Чистая линия 100г;sweets
Зефир бело-розовый 250г;sweets
Орехи кешью жареные 150г;sweets
ВОДА СВЯТОЙ ИСТОЧНИК 1,5Л;drinks
Сок Добрый апельсин 1л;drinks
Кола Кока-Кола 1,5л;drinks
Квас Очаковский 2л;drinks
КОФЕ ЖОКЕЙ МОЛОТЫЙ 250Г;coffee_tea
Чай Гринфилд Ассам 100пак;coffee_tea
Какао Несквик 250г;coffee_tea
ПИВО БАЛТИКА 7 0,5Л;alcohol
Вино красное сухое Киндзмараули 0,75л;alcohol
Водка Царская 0,5л;alcohol
Сигареты Winston 20шт;alcohol
ПОРОШОК СТИРАЛЬНЫЙ ARIEL 3КГ;household
Гель для посуды Фейри 900мл;household
Освежитель воздуха Глейд 300мл;household
Мешки для мусора 30л 20шт;household
Губки для посуды 5шт;household
ШАМПУНЬ HEAD SHOULDERS 400МЛ;hygiene
Зубная паста Колгейт 100мл;hygiene
Дезодорант Рексона 150мл;hygiene
Бумага туалетная Зева 8рул;hygiene
Прокладки Олвейс 10шт;hygiene
Крем для рук Бархатные ручки 80мл;hygiene
ЛАМПОЧКА СВЕТОДИОДНАЯ 10ВТ;goods
Батарейки Дюрасел АА 4шт;goods
Фольга алюминиевая 10м;goods
Пакет майка 30шт;goods
КОРМ ДЛЯ КОШЕК ВИСКАС 85Г;pets
Наполнитель для туалета кошачий 5л;pets
Лакомство для собак Педигри 80г;pets
ПОДГУЗНИКИ ПАМПЕРС 4 62ШТ;kids
Пюре детское Фрутоняня яблоко 90г;kids
Смесь молочная Нутрилон 400г;kids
ВИТАМИН Д3 АКВАДЕТРИМ 15МЛ;pharmacy
Пластырь бактерицидный 20шт;pharmacy
SNAQ FABRIQ Батончик глазир Арахис/карамель 5;sweets
PURINA ONE Корм сух д/котят курица/цел з;pets
TITBIT Лакомство д/кошек колбаски сливоч;pets
COOL RULE Глина д/укл волос текстурир св;hygiene
МАГНИТ Косметик Пакет большой (Россия):100/17;goods
Такси Яндекс поездка;transport
Автомойка комплекс;auto
Заправка АИ-95 40л;auto
Парковка час;auto
Кофе с собой в кофейне;cafe
Доставка еды Самокат;cafe
Шаурма классическая;cafe
Стрижка мужская;services
Подписка Яндекс Плюс;services
Билет в кино 2 места;entertainment
Наушники беспроводные;tech
Кабель USB Type-C;tech
Носки хлопковые 3 пары;clothes
Кроссовки беговые;clothes
