# Строки из настоящих чеков. Именно на них словарь и дорабатывался:
# каждая правка приоритетов проверяется этим набором.
БЛАГОЯР Шницель Венский с сыром охлажденный ЛОТ;meat
Конфеты Птичье молоко сливочное ванил в ТАКФ;sweets
ДЖЕК Конфеты шоколад ваф со вкусом какао в КОНТИ;sweets
ПОСИДЕЛКИНО Печенье овсян доб шоколад кусоч;sweets
SNAQ FABRIQ Батончик глазир Арахис/карамель 5;sweets
SVEZA Сыр творожный сливоч воздуш;dairy
ВОЛГОДОНСКАЯ Сметана пл ст БЕЛ;dairy
ВОЛГОДОНСКОЕ Молоко паст пл;dairy
Яйцо столовое СО бокс;dairy
DOUBLE TREE Медовуха двойная вишня ФИЛ;alcohol
ДОШИРАК Лапша курица конт;grocery
МАХЕЕВЪ Соус манго чили д/п ЭССЕН;grocery
ХАМЕ Паштет с индейкой ФУДС;meat
НАТАХТАРИ Напиток фейхоа газ пл бут А;drinks
DEMETRA Дюшес пл бут АРИЗОНА II;drinks
PREMIERE OF TASTE Ананасы кольц в собст;vegetables
ПУДОВЪ Кекс апельсиновый ХЛЕБЗЕРНОПРО;bakery
Хлеб тостовый полов в нарез п ГУКОВ;bakery
МАГНИТ Пакет майка большой;goods
МАГНИТ Косметик Пакет большой (Россия):100/17;goods
PURINA ONE Корм сух д/котят курица/цел з;pets
TITBIT Лакомство д/кошек колбаски сливоч;pets
COOL RULE Глина д/укл волос текстурир св;hygiene
